FirstName,LastName,Name,MiddleInitial,HouseNumber,StreetName,Source,Class
AHREWS       , MARITZA     ,AHREWS MARITZA,A,345,71ST                ,B,ID444611561          
AHREWS       , MARIANNA    ,AHREWS MARIANNA,B,345,71ST                ,B,ID444611563          
BENETAS      , LENARD      ,BENETAS LENARD,A,660,STARKEY             ,B,ID4447124106879010001
BENETAS      , SAMMY       ,BENETAS SAMMY,R,660,STARKEY             ,B,ID4447124106879010003
BENETAS      , DOLORES     ,BENETAS DOLORES,R,660,STARKEY             ,B,ID4447124106879010002
BODMER       , JAMAR       ,BODMER JAMAR,C,102,BANKS               ,B,ID4447124106897210001
BODMER       , ROSSITA     ,BODMER ROSSITA,L,102,BANKS               ,B,ID4447124106897210002
BODMER       , MAG         ,BODMER MAG,R,102,BANKS               ,B,ID4447124106897210003
BODMER       , ROZELLIN    ,BODMER ROZELLIN,N,102,BANKS               ,B,ID4447124106897210004
BODMER       , CATHERINE   ,BODMER CATHERINE,L,102,BANKS               ,B,ID4447124106897210005
CETO         , J           ,CETO J,E,104,MITCHELL            ,B,ID4447124106907910001
CHEESEMAN    , DANYA       ,CHEESEMAN DANYA,L,690,STARKEY             ,B,ID4447124106894910001
CHEESEMAN    , DANTE       ,CHEESEMAN DANTE,E,690,STARKEY             ,B,ID4447124106894910002
CONNER       , DOMINQUE    ,CONNER DOMINQUE,S,4836,BASSWIDE            ,B,ID4447124106920210001
CONNER       , COHNIE      ,CONNER COHNIE,E,4836,BASSWIDE            ,B,ID4447124106920210002
COSGRAOE     , SEKOU       ,COSGRAOE SEKOU,L,202,BANKS               ,B,ID4447124106912910004
COSGRAOE     , TREIRA      ,COSGRAOE TREIRA, ,202,BANKS               ,B,ID4447124106912910001
COSGRAOE     , THERESA     ,COSGRAOE THERESA,G,202,BANKS               ,B,ID4447124106912910003
DACANAY      , MICHAEL     ,DACANAY MICHAEL,A,112,MITCHELL            ,B,ID4447124106909510001
DACANAY      , A JASIA     ,DACANAY A JASIA, ,112,MITCHELL            ,B,ID4447124106909510002
DACANAY      , BRIANCA     ,DACANAY BRIANCA,G,112,MITCHELL            ,B,ID4447124106909510003
DANIEL-LEIVA , SAM         ,DANIEL-LEIVA SAM,J,729,RIDLEY              ,B,ID4447124106899810001
DANIEL-LEIVA , THAU LYNN   ,DANIEL-LEIVA THAU LYNN,R,729,RIDLEY              ,B,ID4447124106899810002
DIVER        , MILFORD     ,DIVER MILFORD,J,658,STARKEY             ,B,ID4447124106877410001
DOMINQUEZ    , FRANK       ,DOMINQUEZ FRANK,K,672,STARKEY             ,B,ID4447124106883210001
DOMINQUEZ    , SHAVAN      ,DOMINQUEZ SHAVAN,M,672,STARKEY             ,B,ID4447124106883210002
ENGELSKIRCH  , ISAAE       ,ENGELSKIRCH ISAAE, ,612,STARKEY             ,B,ID4446117397         
ENGELSKIRCH  , JEANELLE    ,ENGELSKIRCH JEANELLE, ,612,STARKEY             ,B,ID4446117398         
FAIRIE       , LOUIS       ,FAIRIE LOUIS,W,4940,BASSWOOD            ,B,ID444712426108480000 
FISCHARUND   , WESLEY      ,FISCHARUND WESLEY,M,110,MITCHELL            ,B,ID4447124106908710003
FISCHARUND   , NADESHIA    ,FISCHARUND NADESHIA,A,110,MITCHELL            ,B,ID4447124106908710001
FISCHARUND   , DANYELLE    ,FISCHARUND DANYELLE,L,110,MITCHELL            ,B,ID4447124106908710002
GECKLE       , RUNEE       ,GECKLE RUNEE, ,614,STARKEY             ,B,ID4446117475         
GECKLE       , RALPAL      ,GECKLE RALPAL,T,614,STARKEY             ,B,ID4446117479         
GERING       , RROBERT     ,GERING RROBERT,T,325,71ST                ,B,ID444611554          
GERINGER     , GHOLAN      ,GERINGER GHOLAN,W,200,BANK                ,B,ID4447124106913710002
